time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.0275,0.000712937,-0.000712937,-0.119012,0.120431,0.349176,0.00903444,0.00649607,-0.0547445,0.179536,0.349177,0.002241,-0.000297376,-0.109884,0.125627,0.349435,0.000712936,-0.000712937,-0.119639,0.121061,0.349434,-1.48997,-2.92722e-07,0.349386,-2.66874e-06,0.000321872,5.26015e-07,1,-9.75465e-05,3.90134e-06,3.81422e-05,-7.76849e-05,-0.00197945,-1.19088e-07,-0.000802567,-0.00127365,-0.00445576
1.03,0.000851721,-0.000851722,-0.119133,0.120701,0.349177,0.0107932,0.00776071,-0.0598243,0.175339,0.349178,0.00267726,-0.00035526,-0.11093,0.125642,0.349434,0.000851721,-0.000851722,-0.119879,0.12145,0.349433,-1.48997,-2.89856e-07,0.349385,-2.69615e-06,0.000319816,5.25923e-07,1,-8.11246e-05,1.14552e-06,2.6941e-05,-2.19269e-05,-0.00164504,-8.53806e-08,0.000296833,-0.00115521,-0.00447827
1.0325,0.000999323,-0.000999323,-0.119285,0.120948,0.349178,0.0126638,0.0091057,-0.0645662,0.171472,0.349179,0.00314124,-0.000416822,-0.111911,0.125627,0.349433,0.000999323,-0.000999323,-0.120107,0.121774,0.349433,-1.48997,-2.92888e-07,0.349384,-2.66406e-06,0.00031822,5.25851e-07,1,-6.30104e-05,-1.21015e-06,1.61793e-05,2.56677e-05,-0.00127678,-5.32181e-08,0.00100492,-0.000994519,-0.00430208
1.035,0.00115508,-0.00115508,-0.119466,0.121176,0.349178,0.0146376,0.010525,-0.0689936,0.167907,0.349179,0.00363085,-0.000481785,-0.11283,0.125585,0.349433,0.00115508,-0.00115508,-0.120325,0.122039,0.349432,-1.48997,-3.00701e-07,0.349383,-2.58383e-06,0.000317105,5.25799e-07,1,-4.4065e-05,-3.11929e-06,6.19917e-06,6.4184e-05,-0.000892077,-2.31954e-08,0.00135909,-0.000814333,-0.00398921
1.0375,0.00131838,-0.00131838,-0.119672,0.121386,0.349178,0.0167071,0.012013,-0.0731277,0.164617,0.349179,0.00414418,-0.000549894,-0.113689,0.125518,0.349433,0.00131838,-0.00131838,-0.120534,0.122252,0.349432,-1.48997,-3.12165e-07,0.349382,-2.46689e-06,0.000316472,5.25769e-07,1,-2.50446e-05,-4.57765e-06,-2.7807e-06,9.35557e-05,-0.000506228,4.42166e-09,0.00140123,-0.000631733,-0.0035891
1.04,0.00148866,-0.00148866,-0.119899,0.121579,0.349179,0.018865,0.0135647,-0.0769872,0.161581,0.349179,0.00467944,-0.000620914,-0.114493,0.12543,0.349433,0.00148866,-0.00148866,-0.120734,0.122419,0.349432,-1.48997,-3.26216e-07,0.349381,-2.32399e-06,0.000316307,5.25761e-07,1,-6.5948e-06,-5.61074e-06,-1.06377e-05,0.000114314,-0.000132269,2.95894e-08,0.00117597,-0.000458821,-0.0031401
1.0425,0.00166539,-0.00166539,-0.120141,0.121759,0.349178,0.0211047,0.0151751,-0.080589,0.158778,0.349179,0.00523499,-0.000694625,-0.115245,0.125324,0.349433,0.00166539,-0.00166539,-0.120926,0.122548,0.349432,-1.48997,-3.419e-07,0.34938,-2.16478e-06,0.000316581,5.25776e-07,1,1.07518e-05,-6.26328e-06,-1.73217e-05,0.000127374,0.000219048,5.24056e-08,0.000728998,-0.000303483,-0.00267116
1.045,0.00184809,-0.00184809,-0.120394,0.121925,0.349178,0.0234201,0.0168399,-0.0839487,0.156188,0.349179,0.0058093,-0.000770826,-0.115946,0.125205,0.349433,0.00184809,-0.00184809,-0.12111,0.122645,0.349432,-1.48997,-3.58404e-07,0.349379,-1.99744e-06,0.000317255,5.25813e-07,1,2.65739e-05,-6.59077e-06,-2.28356e-05,0.000133868,0.000539237,7.30501e-08,0.000105727,-0.000170181,-0.00220351
1.0475,0.00203632,-0.00203632,-0.120653,0.12208,0.349178,0.0258054,0.0185551,-0.0870802,0.153797,0.349178,0.00640098,-0.000849331,-0.116602,0.125078,0.349433,0.00203632,-0.00203632,-0.121286,0.122717,0.349432,-1.48997,-3.75062e-07,0.349378,-1.82868e-06,0.000318282,5.25872e-07,1,4.05579e-05,-6.65286e-06,-2.72199e-05,0.000135006,0.000821985,9.17428e-08,-0.000649984,-6.07099e-05,-0.00175218
1.05,0.00222965,-0.00222965,-0.120914,0.122225,0.349177,0.0282555,0.0203168,-0.0899967,0.151587,0.349178,0.00700871,-0.000929967,-0.117213,0.124946,0.349434,0.00222965,-0.00222965,-0.121454,0.122768,0.349433,-1.48997,-3.91357e-07,0.349376,-1.66371e-06,0.000319611,5.25953e-07,1,5.24907e-05,-6.50847e-06,-3.05409e-05,0.000131984,0.00106302,1.08714e-07,-0.00149681,2.51164e-05,-0.00132733
