time,force_plate_1_fx,force_plate_1_fy,force_plate_1_fz,force_plate_2_fx,force_plate_2_fy,force_plate_2_fz,force_plate_3_fx,force_plate_3_fy,force_plate_3_fz,force_plate_4_fx,force_plate_4_fy,force_plate_4_fz
0.045,0.0,0.0,0.00022073548437084867,0.0,0.0,0.00022073548437084867,0.0,0.0,0.00022073548437084867,0.0,0.0,0.00022073548437084867
0.0475,0.0,0.0,0.0001765441407766133,0.0,0.0,0.0001765441407766133,0.0,0.0,0.0001765441407766133,0.0,0.0,0.0001765441407766133
0.05,0.0,0.0,0.00014119992411210092,0.0,0.0,0.00014119992411210092,0.0,0.0,0.00014119992411210092,0.0,0.0,0.00014119992411210092
0.0525,0.0,0.0,0.00011293163557724029,0.0,0.0,0.00011293163557724029,0.0,0.0,0.00011293163557724029,0.0,0.0,0.00011293163557724029
0.055,0.0,0.0,9.032267116637627e-05,0.0,0.0,9.032267116637627e-05,0.0,0.0,9.032267116637627e-05,0.0,0.0,9.032267116637627e-05
0.0575,0.0,0.0,7.224003163308623e-05,0.0,0.0,7.224003163308623e-05,0.0,0.0,7.224003163308623e-05,0.0,0.0,7.224003163308623e-05
0.06,0.0,0.0,5.7777544697046324e-05,0.0,0.0,5.7777544697046324e-05,0.0,0.0,5.7777544697046324e-05,0.0,0.0,5.7777544697046324e-05
0.0625,0.0,0.0,4.621045417430025e-05,0.0,0.0,4.621045417430025e-05,0.0,0.0,4.621045417430025e-05,0.0,0.0,4.621045417430025e-05
0.065,0.0,0.0,3.6959100388145316e-05,0.0,0.0,3.6959100388145316e-05,0.0,0.0,3.6959100388145316e-05,0.0,0.0,3.6959100388145316e-05
0.0675,0.0,0.0,2.955987181074704e-05,0.0,0.0,2.955987181074704e-05,0.0,0.0,2.955987181074704e-05,0.0,0.0,2.955987181074704e-05
0.07,0.0,0.0,2.3641972132892874e-05,0.0,0.0,2.3641972132892874e-05,0.0,0.0,2.3641972132892874e-05,0.0,0.0,2.3641972132892874e-05
0.0725,0.0,0.0,1.8908838642417436e-05,0.0,0.0,1.8908838642417436e-05,0.0,0.0,1.8908838642417436e-05,0.0,0.0,1.8908838642417436e-05
0.075,0.0,0.0,1.5123280610040979e-05,0.0,0.0,1.5123280610040979e-05,0.0,0.0,1.5123280610040979e-05,0.0,0.0,1.5123280610040979e-05
0.0775,0.0,0.0,1.2095593008965011e-05,0.0,0.0,1.2095593008965011e-05,0.0,0.0,1.2095593008965011e-05,0.0,0.0,1.2095593008965011e-05
0.08,0.0,0.0,9.674049827879116e-06,0.0,0.0,9.674049827879116e-06,0.0,0.0,9.674049827879116e-06,0.0,0.0,9.674049827879116e-06
0.0825,0.0,0.0,7.737300688148707e-06,0.0,0.0,7.737300688148707e-06,0.0,0.0,7.737300688148707e-06,0.0,0.0,7.737300688148707e-06
0.085,0.0,0.0,6.18828959630946e-06,0.0,0.0,6.18828959630946e-06,0.0,0.0,6.18828959630946e-06,0.0,0.0,6.18828959630946e-06
0.0875,0.0,0.0,4.949391229303046e-06,0.0,0.0,4.949391229303046e-06,0.0,0.0,4.949391229303046e-06,0.0,0.0,4.949391229303046e-06
0.09,0.0,0.0,3.958520867541893e-06,0.0,0.0,3.958520867541893e-06,0.0,0.0,3.958520867541893e-06,0.0,0.0,3.958520867541893e-06
0.0925,0.0,0.0,3.1660232053809523e-06,0.0,0.0,3.1660232053809523e-06,0.0,0.0,3.1660232053809523e-06,0.0,0.0,3.1660232053809523e-06
0.095,0.0,0.0,2.532183930981091e-06,0.0,0.0,2.532183930981091e-06,0.0,0.0,2.532183930981091e-06,0.0,0.0,2.532183930981091e-06
0.0975,0.0,0.0,2.0252395653841404e-06,0.0,0.0,2.0252395653841404e-06,0.0,0.0,2.0252395653841404e-06,0.0,0.0,2.0252395653841404e-06
0.1,0.0,0.0,1.619785688689035e-06,0.0,0.0,1.619785688689035e-06,0.0,0.0,1.619785688689035e-06,0.0,0.0,1.619785688689035e-06
0.1025,0.0,0.0,1.2955038606321523e-06,0.0,0.0,1.2955038606321523e-06,0.0,0.0,1.2955038606321523e-06,0.0,0.0,1.2955038606321523e-06
0.105,0.0,0.0,1.0361434057415408e-06,0.0,0.0,1.0361434057415408e-06,0.0,0.0,1.0361434057415408e-06,0.0,0.0,1.0361434057415408e-06
0.1075,0.0,0.0,8.287070283330422e-07,0.0,0.0,8.287070283330422e-07,0.0,0.0,8.287070283330422e-07,0.0,0.0,8.287070283330422e-07
0.11,0.0,0.0,6.627995094987682e-07,0.0,0.0,6.627995094987682e-07,0.0,0.0,6.627995094987682e-07,0.0,0.0,6.627995094987682e-07
0.1125,0.0,0.0,5.301067460550257e-07,0.0,0.0,5.301067460550257e-07,0.0,0.0,5.301067460550257e-07,0.0,0.0,5.301067460550257e-07
0.115,0.0,0.0,4.239791380200586e-07,0.0,0.0,4.239791380200586e-07,0.0,0.0,4.239791380200586e-07,0.0,0.0,4.239791380200586e-07
0.1175,0.0,0.0,3.3909832097833714e-07,0.0,0.0,3.3909832097833714e-07,0.0,0.0,3.3909832097833714e-07,0.0,0.0,3.3909832097833714e-07
0.12,0.0,0.0,2.712106876856524e-07,0.0,0.0,2.712106876856524e-07,0.0,0.0,2.712106876856524e-07,0.0,0.0,2.712106876856524e-07
0.1225,0.0,0.0,2.16914180839467e-07,0.0,0.0,2.16914180839467e-07,0.0,0.0,2.16914180839467e-07,0.0,0.0,2.16914180839467e-07
0.125,0.0,0.0,1.7348786762738655e-07,0.0,0.0,1.7348786762738655e-07,0.0,0.0,1.7348786762738655e-07,0.0,0.0,1.7348786762738655e-07
0.1275,0.0,0.0,1.3875551552189336e-07,0.0,0.0,1.3875551552189336e-07,0.0,0.0,1.3875551552189336e-07,0.0,0.0,1.3875551552189336e-07
0.13,0.0,0.0,1.1097660035375156e-07,0.0,0.0,1.1097660035375156e-07,0.0,0.0,1.1097660035375156e-07,0.0,0.0,1.1097660035375156e-07
0.1325,0.0,0.0,8.875903390048734e-08,0.0,0.0,8.875903390048734e-08,0.0,0.0,8.875903390048734e-08,0.0,0.0,8.875903390048734e-08
