time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.0275,0.00332194,-0.0020774,-0.105704,0.116363,0.349169,0.00221564,-0.00242062,-0.113895,0.111648,0.349169,0.00255035,-0.00214259,-0.111355,0.114033,0.349444,0.00205278,-0.00312566,-0.115535,0.107563,0.349444,-1.48997,-7.05309e-07,0.34938,1.51147e-06,0.000343947,5.28196e-07,1,-7.70997e-06,-2.0353e-06,2.99586e-05,4.04951e-05,-0.000164216,-1.17813e-07,-0.00652913,0.000661492,-0.0102953
1.03,0.00396865,-0.00248181,-0.107066,0.116992,0.349169,0.00264697,-0.00289186,-0.114672,0.112565,0.349169,0.00304683,-0.0025597,-0.112346,0.114793,0.349444,0.0024524,-0.00373415,-0.116172,0.108868,0.349444,-1.48997,-7.06831e-07,0.349378,1.52607e-06,0.000343764,5.28044e-07,1,-6.86158e-06,-6.10896e-07,7.06276e-06,1.16812e-05,-0.000146544,-1.17659e-07,-0.006399,0.00059968,-0.00916041
1.0325,0.00465643,-0.00291192,-0.108343,0.11759,0.349169,0.0031057,-0.00339302,-0.115404,0.113425,0.349169,0.00357486,-0.0030033,-0.113274,0.115506,0.349444,0.00287741,-0.0043813,-0.116776,0.110088,0.349444,-1.48997,-7.05307e-07,0.349376,1.50996e-06,0.00034361,5.27904e-07,1,-5.7599e-06,6.05322e-07,-1.2236e-05,-1.28856e-05,-0.000123818,-1.16067e-07,-0.00629564,0.000516092,-0.00772152
1.035,0.00538221,-0.00336578,-0.109539,0.118156,0.349169,0.00358978,-0.00392188,-0.116093,0.114229,0.349169,0.00413206,-0.00347141,-0.114143,0.116174,0.349444,0.0033259,-0.00506419,-0.117348,0.111225,0.349444,-1.48997,-7.01319e-07,0.349373,1.46904e-06,0.000343488,5.27777e-07,1,-4.47467e-06,1.5896e-06,-2.76515e-05,-3.27375e-05,-9.74558e-05,-1.13153e-07,-0.0062209,0.000422518,-0.00616816
1.0375,0.00614315,-0.00384164,-0.110659,0.11869,0.349169,0.0040973,-0.00447636,-0.116742,0.114981,0.349169,0.00471625,-0.0039622,-0.114955,0.116797,0.349444,0.00379611,-0.00578017,-0.117889,0.112285,0.349444,-1.48997,-6.95452e-07,0.349371,1.40923e-06,0.000343402,5.27661e-07,1,-3.07579e-06,2.34002e-06,-3.92406e-05,-4.78458e-05,-6.88755e-05,-1.09111e-07,-0.0061748,0.000327807,-0.00463757
1.04,0.0069366,-0.00433782,-0.111706,0.119194,0.349169,0.0046265,-0.00505452,-0.117353,0.115684,0.349169,0.0053254,-0.00447395,-0.115715,0.117379,0.349443,0.00428641,-0.00652673,-0.118398,0.113271,0.349444,-1.48997,-6.88259e-07,0.349368,1.33612e-06,0.000343352,5.27555e-07,1,-1.62966e-06,2.87004e-06,-4.7292e-05,-5.84907e-05,-3.94173e-05,-1.04169e-07,-0.00615591,0.000238219,-0.00322249
1.0425,0.00776012,-0.00485281,-0.112687,0.119669,0.349169,0.00517577,-0.0056546,-0.117928,0.116341,0.349168,0.00595764,-0.00500511,-0.116426,0.117922,0.349443,0.0047953,-0.0073016,-0.118878,0.114188,0.349444,-1.48997,-6.80233e-07,0.349365,1.25468e-06,0.000343339,5.2746e-07,1,-1.96425e-07,3.20308e-06,-5.22354e-05,-6.51515e-05,-1.02919e-05,-9.85665e-08,-0.00616167,0.000157828,-0.00197927
1.045,0.00861147,-0.0053852,-0.113603,0.120115,0.349169,0.00574359,-0.00627495,-0.11847,0.116955,0.349168,0.00661124,-0.00555421,-0.117091,0.118429,0.349443,0.00532138,-0.00810264,-0.119331,0.115041,0.349443,-1.48997,-6.71795e-07,0.349362,1.16916e-06,0.000343361,5.27374e-07,1,1.17188e-06,3.36805e-06,-5.457e-05,-6.84174e-05,1.74563e-05,-9.25354e-08,-0.00618878,8.89301e-05,-0.000935757
1.0475,0.00948854,-0.00593368,-0.114461,0.120536,0.349168,0.00632857,-0.00691406,-0.118979,0.117529,0.349168,0.00728459,-0.0061199,-0.117713,0.118902,0.349443,0.00586336,-0.00892789,-0.119756,0.115834,0.349443,-1.48997,-6.63287e-07,0.349359,1.08301e-06,0.000343415,5.27296e-07,1,2.43248e-06,3.39602e-06,-5.48112e-05,-6.89192e-05,4.29713e-05,-8.62856e-08,-0.0062335,3.24396e-05,-9.84567e-05
1.05,0.0103894,-0.00649705,-0.115264,0.120932,0.349168,0.00692943,-0.0075705,-0.11946,0.118066,0.349168,0.00797622,-0.00670095,-0.118295,0.119345,0.349443,0.00642005,-0.00977554,-0.120157,0.116573,0.349443,-1.48997,-6.54976e-07,0.349356,9.98911e-07,0.000343497,5.27225e-07,1,3.55227e-06,3.31763e-06,-5.34531e-05,-6.72782e-05,6.55935e-05,-7.99981e-08,-0.00629187,-1.1755e-05,0.000541208
